frames 0x00020500 36
word 0x00020500 4 0x08000000
word 0x00020500 5 0x00000402
word 0x00020500 50 0x00004000
word 0x00020501 4 0x26000000
word 0x00020501 5 0x00000088
word 0x00020502 50 0x00100000
word 0x00020504 50 0x00400000
word 0x00020509 4 0x00004000
word 0x0002050F 4 0x00004000
word 0x00020511 4 0x00008000
word 0x00020512 4 0x00000040
word 0x00020514 5 0x00000001
word 0x00020516 4 0x00008000
word 0x00020518 4 0x00008080
word 0x00020519 4 0x00008000
word 0x00020519 5 0x00000001
word 0x0002051E 4 0x00001002
word 0x0002051F 4 0x00000008
